module,file,group,importance,lines,parser_error,macro_rules_sites,function_sites_ast,exec_function_sites,exec_body_sites,exec_signature_sites,exec_body_post_sites,exec_body_requires_only_sites,exec_body_no_contract_sites,public_exec_body_sites,public_exec_body_post_sites,public_exec_body_requires_only_sites,public_exec_body_no_contract_sites,public_exec_body_no_post_sites,exec_contract_sites,exec_post_sites,trait_exec_contract_sites,public_exec_no_post_sites,assume_spec_sites,assume_spec_with_post_sites,assume_spec_without_post_sites,model_spec_fn_sites,proof_fn_sites,axiom_fn_sites,requires_clause_sites,ensures_clause_sites,returns_clause_sites,default_ensures_sites,external_trait_spec_sites,external_type_spec_sites,external_body_sites,view_impl_sites,deep_view_impl_sites,broadcast_group_sites,total_contract_sites,total_spec_sites
std_specs::num,std_specs/num.rs,Rust standard-library specs,critical,493,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,16,13,0,0,0,4,30,0,0,0,0,0,0,0,34,47
std_specs::ops,std_specs/ops.rs,Rust standard-library specs,critical,514,True,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,17,0,0,2,12,0,0,2,0,0,0,0,0,10,27
std_specs::option,std_specs/option.rs,Rust standard-library specs,critical,407,True,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,3,22,7,1,10,24,0,0,0,0,0,0,0,0,20,50
std_specs::range,std_specs/range.rs,Rust standard-library specs,critical,250,True,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,21,1,0,0,5,0,0,0,2,1,1,0,1,4,26
std_specs::result,std_specs/result.rs,Rust standard-library specs,critical,279,True,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,19,8,0,9,14,0,0,0,0,0,0,0,0,10,37
std_specs::slice,std_specs/slice.rs,Rust standard-library specs,critical,215,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2,16,1,0,3,12,1,0,0,1,1,0,0,1,11,28
std_specs::smart_ptrs,std_specs/smart_ptrs.rs,Rust standard-library specs,high,78,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10
std_specs::vec,std_specs/vec.rs,Rust standard-library specs,critical,529,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,1,19,8,2,11,41,0,0,0,3,5,0,0,1,29,58
std_specs::vecdeque,std_specs/vecdeque.rs,Rust standard-library specs,high,342,True,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,16,3,0,3,22,0,0,0,2,2,1,1,1,19,38
string,string.rs,Runtime collections and data,high,545,True,0,45,20,10,10,10,0,0,0,0,0,0,0,10,10,0,10,17,17,0,18,4,3,8,31,3,0,0,2,9,2,2,2,27,52
thread,thread.rs,Concurrency and prophecy,specialized,273,True,0,15,5,5,0,3,0,2,3,3,0,0,0,3,3,0,0,0,0,0,4,0,6,3,8,0,0,0,0,8,0,0,0,3,13
tokens,tokens.rs,Resources and protocols,specialized,631,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,0,18,27,0,0,0,0,0,0,0,0,0,65
utf8,utf8.rs,Runtime collections and data,high,1129,False,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,0,29,33,0,0,0,0,0,0,0,1,0,79
view,view.rs,Mathematical foundations,critical,344,True,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,13,13,0,0,24
vstd,vstd.rs,Infrastructure,support,147,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wrapping,wrapping.rs,Runtime collections and data,medium,118,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
